DATE,CPIAUCSL_PC1,PPIACO_CH1,PCE_PC1
2/1/1950,-2.08247,-1.4,.
3/1/1950,-1.25471,-0.7,.
4/1/1950,-1.12923,-0.7,.
5/1/1950,-1.12876,-0.4,.
6/1/1950,-0.58553,0.1,.
7/1/1950,-0.16722,0.6,.
8/1/1950,1.56118,1.3,.
9/1/1950,2.1097,1.9,.
10/1/1950,2.48421,2.3,.
11/1/1950,3.50655,2.6,.
12/1/1950,3.79747,3,.
1/1/1951,5.80263,3.8,.
2/1/1951,7.95406,4.6,.
3/1/1951,9.4028,4.8,.
4/1/1951,9.47547,4.8,.
5/1/1951,9.59831,4.7,.
6/1/1951,9.3395,4.3,.
7/1/1951,8.58459,3.9,.
8/1/1951,7.64437,3,.
9/1/1951,6.8595,2.2,.
10/1/1951,6.9433,1.7,.
11/1/1951,6.77551,1.5,.
12/1/1951,6.99187,1.1,.
1/1/1952,5.96477,0.4,.
2/1/1952,4.21592,-0.5,.
3/1/1952,2.24545,-1.1,.
4/1/1952,1.97063,-1.1,.
5/1/1952,2.08333,-1.2,.
6/1/1952,1.84686,-1.1,.
7/1/1952,2.31392,-1,.
8/1/1952,2.97183,-0.7,.
9/1/1952,3.20959,-0.3,.
10/1/1952,2.30503,-0.5,.
11/1/1952,2.02599,-0.6,.
12/1/1952,1.40578,-0.8,.
1/1/1953,0.90669,-1,.
2/1/1953,0.71834,-0.9,.
3/1/1953,0.68156,-0.7,.
4/1/1953,0.90944,-0.6,.
5/1/1953,0.86924,-0.6,.
6/1/1953,0.86891,-0.5,.
7/1/1953,0.90464,-0.5,.
8/1/1953,0.41229,-0.2,.
9/1/1953,0.59948,-0.5,.
10/1/1953,0.97634,-0.2,.
11/1/1953,0.97415,-0.3,.
12/1/1953,0.59948,-0.2,.
1/1/1954,0.59903,0.1,.
2/1/1954,1.12613,0.3,.
3/1/1954,1.50432,0.2,.
4/1/1954,1.12655,0.1,.
5/1/1954,0.63694,0.4,.
6/1/1954,0.86142,0.3,.
7/1/1954,0.63504,0.2,.
8/1/1954,0.26129,-0.1,.
9/1/1954,0,0,.
10/1/1954,-0.29751,-0.2,.
11/1/1954,-0.85343,-0.1,.
12/1/1954,-0.26071,0.1,.
1/1/1955,-0.37216,-0.2,.
2/1/1955,-0.63103,-0.2,.
3/1/1955,-0.62986,0,.
4/1/1955,-0.51987,-0.1,.
5/1/1955,-0.26061,-0.1,.
6/1/1955,-0.59413,-0.3,.
7/1/1955,-0.85375,0.1,.
8/1/1955,-0.3723,0,.
9/1/1955,-0.48417,0.1,.
10/1/1955,0.1492,0.4,.
11/1/1955,0.37425,0.5,.
12/1/1955,0.37341,0.3,.
1/1/1956,0.37355,0.5,.
2/1/1956,0.22413,0.5,.
3/1/1956,0.14914,0.5,.
4/1/1956,0.37327,0.7,.
5/1/1956,0.52258,0.8,.
6/1/1956,0.97124,1.2,.
7/1/1956,1.64732,1,.
8/1/1956,1.98057,0.9,.
9/1/1956,2.20808,1,.
10/1/1956,1.8622,1,.
11/1/1956,2.57271,1,.
12/1/1956,2.34375,1.2,.
1/1/1957,2.82843,1.3,.
2/1/1957,3.13082,1.3,.
