DATE,FEDFUNDS
8/1/1954,0.8
9/1/1954,1.22
10/1/1954,1.07
11/1/1954,0.85
12/1/1954,0.83
1/1/1955,1.28
2/1/1955,1.39
3/1/1955,1.29
4/1/1955,1.35
5/1/1955,1.43
6/1/1955,1.43
7/1/1955,1.64
8/1/1955,1.68
9/1/1955,1.96
10/1/1955,2.18
11/1/1955,2.24
12/1/1955,2.35
1/1/1956,2.48
2/1/1956,2.45
3/1/1956,2.5
4/1/1956,2.5
5/1/1956,2.62
6/1/1956,2.75
7/1/1956,2.71
8/1/1956,2.75
9/1/1956,2.73
10/1/1956,2.95
11/1/1956,2.96
12/1/1956,2.88
1/1/1957,2.94
2/1/1957,2.84
3/1/1957,3
4/1/1957,2.96
5/1/1957,3
6/1/1957,3
7/1/1957,3
8/1/1957,2.99
9/1/1957,3.24
10/1/1957,3.47
11/1/1957,3.5
12/1/1957,3.28
1/1/1958,2.98
2/1/1958,2.72
3/1/1958,1.67
4/1/1958,1.2
5/1/1958,1.26
6/1/1958,0.63
7/1/1958,0.93
8/1/1958,0.68
9/1/1958,1.53
10/1/1958,1.76
11/1/1958,1.8
12/1/1958,2.27
1/1/1959,2.42
2/1/1959,2.48
3/1/1959,2.43
4/1/1959,2.8
5/1/1959,2.96
6/1/1959,2.9
7/1/1959,3.39
8/1/1959,3.47
9/1/1959,3.5
10/1/1959,3.76
11/1/1959,3.98
12/1/1959,4
1/1/1960,3.99
2/1/1960,3.99
3/1/1960,3.97
4/1/1960,3.84
5/1/1960,3.92
6/1/1960,3.85
7/1/1960,3.32
8/1/1960,3.23
9/1/1960,2.98
10/1/1960,2.6
11/1/1960,2.47
12/1/1960,2.44
1/1/1961,1.98
2/1/1961,1.45
3/1/1961,2.54
4/1/1961,2.02
5/1/1961,1.49
6/1/1961,1.98
7/1/1961,1.73
8/1/1961,1.17
9/1/1961,2
10/1/1961,1.88
11/1/1961,2.26
12/1/1961,2.61
1/1/1962,2.33
2/1/1962,2.15
3/1/1962,2.37
4/1/1962,2.85
5/1/1962,2.78
6/1/1962,2.36
7/1/1962,2.68
8/1/1962,2.71
9/1/1962,2.93
10/1/1962,2.9
11/1/1962,2.9
12/1/1962,2.94
1/1/1963,2.93
2/1/1963,2.92
3/1/1963,3
4/1/1963,2.98
5/1/1963,2.9
6/1/1963,3
7/1/1963,2.99
8/1/1963,3.02
9/1/1963,3.49
10/1/1963,3.48
11/1/1963,3.5
12/1/1963,3.48
1/1/1964,3.38
2/1/1964,3.48
3/1/1964,3.48
4/1/1964,3.43
5/1/1964,3.47
6/1/1964,3.5
7/1/1964,3.5
8/1/1964,3.42
9/1/1964,3.5
10/1/1964,3.45
11/1/1964,3.36
12/1/1964,3.52
1/1/1965,3.85
2/1/1965,3.9
3/1/1965,3.98
4/1/1965,4.05
5/1/1965,4.09
6/1/1965,4.1
7/1/1965,4.05
8/1/1965,4.09
9/1/1965,4.12
10/1/1965,4.02
11/1/1965,4.08
12/1/1965,4.1
1/1/1966,4.32
2/1/1966,4.42
3/1/1966,4.6
4/1/1966,4.66
5/1/1966,4.67
6/1/1966,4.9
7/1/1966,5.17
8/1/1966,5.3
9/1/1966,5.53
10/1/1966,5.4
11/1/1966,5.53
12/1/1966,5.76
1/1/1967,5.4
2/1/1967,4.94
3/1/1967,5
4/1/1967,4.53
5/1/1967,4.05
6/1/1967,3.94
7/1/1967,3.98
8/1/1967,3.79
9/1/1967,3.9
10/1/1967,3.99
11/1/1967,3.88
12/1/1967,4.13
1/1/1968,4.51
2/1/1968,4.61
3/1/1968,4.71
4/1/1968,5.05
5/1/1968,5.76
6/1/1968,6.12
7/1/1968,6.07
8/1/1968,6.03
9/1/1968,6.03
10/1/1968,5.78
11/1/1968,5.91
12/1/1968,5.82
1/1/1969,6.02
2/1/1969,6.3
3/1/1969,6.61
4/1/1969,6.79
5/1/1969,7.41
6/1/1969,8.67
7/1/1969,8.9
8/1/1969,8.61
9/1/1969,9.19
10/1/1969,9.15
11/1/1969,9
12/1/1969,8.85
1/1/1970,8.97
2/1/1970,8.98
3/1/1970,8.98
4/1/1970,7.76
5/1/1970,8.1
6/1/1970,7.95
7/1/1970,7.61
8/1/1970,7.21
9/1/1970,6.62
10/1/1970,6.29
11/1/1970,6.2
12/1/1970,5.6
1/1/1971,4.9
2/1/1971,4.14
3/1/1971,3.72
4/1/1971,3.71
5/1/1971,4.16
6/1/1971,4.63
7/1/1971,4.91
8/1/1971,5.31
9/1/1971,5.57
10/1/1971,5.55
11/1/1971,5.2
12/1/1971,4.91
1/1/1972,4.14
2/1/1972,3.51
3/1/1972,3.3
4/1/1972,3.83
5/1/1972,4.17
6/1/1972,4.27
7/1/1972,4.46
8/1/1972,4.55
9/1/1972,4.81
10/1/1972,4.87
11/1/1972,5.05
12/1/1972,5.06
1/1/1973,5.33
2/1/1973,5.94
3/1/1973,6.58
4/1/1973,7.09
5/1/1973,7.12
6/1/1973,7.84
7/1/1973,8.49
8/1/1973,10.4
9/1/1973,10.5
10/1/1973,10.78
11/1/1973,10.01
12/1/1973,10.03
1/1/1974,9.95
2/1/1974,9.65
3/1/1974,8.97
4/1/1974,9.35
5/1/1974,10.51
6/1/1974,11.31
7/1/1974,11.93
8/1/1974,12.92
9/1/1974,12.01
10/1/1974,11.34
11/1/1974,10.06
12/1/1974,9.45
1/1/1975,8.53
2/1/1975,7.13
3/1/1975,6.24
4/1/1975,5.54
5/1/1975,5.49
6/1/1975,5.22
7/1/1975,5.55
8/1/1975,6.1
9/1/1975,6.14
10/1/1975,6.24
11/1/1975,5.82
12/1/1975,5.22
1/1/1976,5.2
2/1/1976,4.87
3/1/1976,4.77
4/1/1976,4.84
5/1/1976,4.82
6/1/1976,5.29
7/1/1976,5.48
8/1/1976,5.31
9/1/1976,5.29
10/1/1976,5.25
11/1/1976,5.02
12/1/1976,4.95
1/1/1977,4.65
2/1/1977,4.61
3/1/1977,4.68
4/1/1977,4.69
5/1/1977,4.73
6/1/1977,5.35
7/1/1977,5.39
8/1/1977,5.42
9/1/1977,5.9
10/1/1977,6.14
11/1/1977,6.47
12/1/1977,6.51
1/1/1978,6.56
2/1/1978,6.7
3/1/1978,6.78
4/1/1978,6.79
5/1/1978,6.89
6/1/1978,7.36
7/1/1978,7.6
8/1/1978,7.81
9/1/1978,8.04
10/1/1978,8.45
11/1/1978,8.96
12/1/1978,9.76
1/1/1979,10.03
2/1/1979,10.07
3/1/1979,10.06
4/1/1979,10.09
5/1/1979,10.01
6/1/1979,10.24
7/1/1979,10.29
8/1/1979,10.47
9/1/1979,10.94
10/1/1979,11.43
11/1/1979,13.77
12/1/1979,13.18
1/1/1980,13.78
2/1/1980,13.82
3/1/1980,14.13
4/1/1980,17.19
5/1/1980,17.61
6/1/1980,10.98
7/1/1980,9.47
8/1/1980,9.03
9/1/1980,9.61
10/1/1980,10.87
11/1/1980,12.81
12/1/1980,15.85
1/1/1981,18.9
2/1/1981,19.08
3/1/1981,15.93
4/1/1981,14.7
5/1/1981,15.72
6/1/1981,18.52
7/1/1981,19.1
8/1/1981,19.04
9/1/1981,17.82
10/1/1981,15.87
11/1/1981,15.08
12/1/1981,13.31
1/1/1982,12.37
2/1/1982,13.22
3/1/1982,14.78
4/1/1982,14.68
5/1/1982,14.94
6/1/1982,14.45
7/1/1982,14.15
8/1/1982,12.59
9/1/1982,10.12
10/1/1982,10.31
11/1/1982,9.71
12/1/1982,9.2
1/1/1983,8.95
2/1/1983,8.68
3/1/1983,8.51
4/1/1983,8.77
5/1/1983,8.8
6/1/1983,8.63
7/1/1983,8.98
8/1/1983,9.37
9/1/1983,9.56
10/1/1983,9.45
11/1/1983,9.48
12/1/1983,9.34
1/1/1984,9.47
2/1/1984,9.56
3/1/1984,9.59
4/1/1984,9.91
5/1/1984,10.29
6/1/1984,10.32
7/1/1984,11.06
8/1/1984,11.23
9/1/1984,11.64
10/1/1984,11.3
11/1/1984,9.99
12/1/1984,9.43
1/1/1985,8.38
2/1/1985,8.35
3/1/1985,8.5
4/1/1985,8.58
5/1/1985,8.27
6/1/1985,7.97
7/1/1985,7.53
8/1/1985,7.88
9/1/1985,7.9
10/1/1985,7.92
11/1/1985,7.99
12/1/1985,8.05
1/1/1986,8.27
2/1/1986,8.14
3/1/1986,7.86
4/1/1986,7.48
5/1/1986,6.99
6/1/1986,6.85
7/1/1986,6.92
8/1/1986,6.56
9/1/1986,6.17
10/1/1986,5.89
11/1/1986,5.85
12/1/1986,6.04
1/1/1987,6.91
2/1/1987,6.43
3/1/1987,6.1
4/1/1987,6.13
5/1/1987,6.37
6/1/1987,6.85
7/1/1987,6.73
8/1/1987,6.58
9/1/1987,6.73
10/1/1987,7.22
11/1/1987,7.29
12/1/1987,6.69
1/1/1988,6.77
2/1/1988,6.83
3/1/1988,6.58
4/1/1988,6.58
5/1/1988,6.87
6/1/1988,7.09
7/1/1988,7.51
8/1/1988,7.75
9/1/1988,8.01
10/1/1988,8.19
11/1/1988,8.3
12/1/1988,8.35
1/1/1989,8.76
2/1/1989,9.12
3/1/1989,9.36
4/1/1989,9.85
5/1/1989,9.84
6/1/1989,9.81
7/1/1989,9.53
8/1/1989,9.24
9/1/1989,8.99
10/1/1989,9.02
11/1/1989,8.84
12/1/1989,8.55
1/1/1990,8.45
2/1/1990,8.23
3/1/1990,8.24
4/1/1990,8.28
5/1/1990,8.26
6/1/1990,8.18
7/1/1990,8.29
8/1/1990,8.15
9/1/1990,8.13
10/1/1990,8.2
11/1/1990,8.11
12/1/1990,7.81
1/1/1991,7.31
2/1/1991,6.91
3/1/1991,6.25
4/1/1991,6.12
5/1/1991,5.91
6/1/1991,5.78
7/1/1991,5.9
8/1/1991,5.82
9/1/1991,5.66
10/1/1991,5.45
11/1/1991,5.21
12/1/1991,4.81
1/1/1992,4.43
2/1/1992,4.03
3/1/1992,4.06
4/1/1992,3.98
5/1/1992,3.73
6/1/1992,3.82
7/1/1992,3.76
8/1/1992,3.25
9/1/1992,3.3
10/1/1992,3.22
11/1/1992,3.1
12/1/1992,3.09
1/1/1993,2.92
2/1/1993,3.02
3/1/1993,3.03
4/1/1993,3.07
5/1/1993,2.96
6/1/1993,3
7/1/1993,3.04
8/1/1993,3.06
9/1/1993,3.03
10/1/1993,3.09
11/1/1993,2.99
12/1/1993,3.02
1/1/1994,2.96
2/1/1994,3.05
3/1/1994,3.25
4/1/1994,3.34
5/1/1994,3.56
6/1/1994,4.01
7/1/1994,4.25
8/1/1994,4.26
9/1/1994,4.47
10/1/1994,4.73
11/1/1994,4.76
12/1/1994,5.29
1/1/1995,5.45
2/1/1995,5.53
3/1/1995,5.92
4/1/1995,5.98
5/1/1995,6.05
6/1/1995,6.01
7/1/1995,6
8/1/1995,5.85
9/1/1995,5.74
10/1/1995,5.8
11/1/1995,5.76
12/1/1995,5.8
1/1/1996,5.6
2/1/1996,5.56
3/1/1996,5.22
4/1/1996,5.31
5/1/1996,5.22
6/1/1996,5.24
7/1/1996,5.27
8/1/1996,5.4
9/1/1996,5.22
10/1/1996,5.3
11/1/1996,5.24
12/1/1996,5.31
1/1/1997,5.29
2/1/1997,5.25
3/1/1997,5.19
4/1/1997,5.39
5/1/1997,5.51
6/1/1997,5.5
7/1/1997,5.56
8/1/1997,5.52
9/1/1997,5.54
10/1/1997,5.54
11/1/1997,5.5
12/1/1997,5.52
1/1/1998,5.5
2/1/1998,5.56
3/1/1998,5.51
4/1/1998,5.49
5/1/1998,5.45
6/1/1998,5.49
7/1/1998,5.56
8/1/1998,5.54
9/1/1998,5.55
10/1/1998,5.51
11/1/1998,5.07
12/1/1998,4.83
1/1/1999,4.68
2/1/1999,4.63
3/1/1999,4.76
4/1/1999,4.81
5/1/1999,4.74
6/1/1999,4.74
7/1/1999,4.76
8/1/1999,4.99
9/1/1999,5.07
10/1/1999,5.22
11/1/1999,5.2
12/1/1999,5.42
1/1/2000,5.3
2/1/2000,5.45
3/1/2000,5.73
4/1/2000,5.85
5/1/2000,6.02
6/1/2000,6.27
7/1/2000,6.53
8/1/2000,6.54
9/1/2000,6.5
10/1/2000,6.52
11/1/2000,6.51
12/1/2000,6.51
1/1/2001,6.4
2/1/2001,5.98
3/1/2001,5.49
4/1/2001,5.31
5/1/2001,4.8
6/1/2001,4.21
7/1/2001,3.97
8/1/2001,3.77
9/1/2001,3.65
10/1/2001,3.07
11/1/2001,2.49
12/1/2001,2.09
1/1/2002,1.82
2/1/2002,1.73
3/1/2002,1.74
4/1/2002,1.73
5/1/2002,1.75
6/1/2002,1.75
7/1/2002,1.75
8/1/2002,1.73
9/1/2002,1.74
10/1/2002,1.75
11/1/2002,1.75
12/1/2002,1.34
1/1/2003,1.24
2/1/2003,1.24
3/1/2003,1.26
4/1/2003,1.25
5/1/2003,1.26
6/1/2003,1.26
7/1/2003,1.22
8/1/2003,1.01
9/1/2003,1.03
10/1/2003,1.01
11/1/2003,1.01
12/1/2003,1
1/1/2004,0.98
2/1/2004,1
3/1/2004,1.01
4/1/2004,1
5/1/2004,1
6/1/2004,1
7/1/2004,1.03
8/1/2004,1.26
9/1/2004,1.43
10/1/2004,1.61
11/1/2004,1.76
12/1/2004,1.93
1/1/2005,2.16
2/1/2005,2.28
3/1/2005,2.5
4/1/2005,2.63
5/1/2005,2.79
6/1/2005,3
7/1/2005,3.04
8/1/2005,3.26
9/1/2005,3.5
10/1/2005,3.62
11/1/2005,3.78
12/1/2005,4
1/1/2006,4.16
2/1/2006,4.29
3/1/2006,4.49
4/1/2006,4.59
5/1/2006,4.79
6/1/2006,4.94
7/1/2006,4.99
8/1/2006,5.24
9/1/2006,5.25
10/1/2006,5.25
11/1/2006,5.25
12/1/2006,5.25
1/1/2007,5.24
2/1/2007,5.25
3/1/2007,5.26
4/1/2007,5.26
5/1/2007,5.25
6/1/2007,5.25
7/1/2007,5.25
8/1/2007,5.26
9/1/2007,5.02
10/1/2007,4.94
11/1/2007,4.76
12/1/2007,4.49
1/1/2008,4.24
2/1/2008,3.94
3/1/2008,2.98
4/1/2008,2.61
5/1/2008,2.28
6/1/2008,1.98
7/1/2008,2
8/1/2008,2.01
9/1/2008,2
10/1/2008,1.81
11/1/2008,0.97
12/1/2008,0.39
1/1/2009,0.16
2/1/2009,0.15
3/1/2009,0.22
4/1/2009,0.18
5/1/2009,0.15
6/1/2009,0.18
7/1/2009,0.21
8/1/2009,0.16
9/1/2009,0.16
10/1/2009,0.15
11/1/2009,0.12
12/1/2009,0.12
1/1/2010,0.12
2/1/2010,0.11
3/1/2010,0.13
4/1/2010,0.16
5/1/2010,0.2
6/1/2010,0.2
7/1/2010,0.18
8/1/2010,0.18
9/1/2010,0.19
10/1/2010,0.19
11/1/2010,0.19
12/1/2010,0.19
1/1/2011,0.18
2/1/2011,0.17
3/1/2011,0.16
4/1/2011,0.14
5/1/2011,0.1
6/1/2011,0.09
7/1/2011,0.09
8/1/2011,0.07
9/1/2011,0.1
10/1/2011,0.08
11/1/2011,0.07
12/1/2011,0.08
1/1/2012,0.07
2/1/2012,0.08
3/1/2012,0.1
4/1/2012,0.13
5/1/2012,0.14
6/1/2012,0.16
7/1/2012,0.16
8/1/2012,0.16
9/1/2012,0.13
10/1/2012,0.14
11/1/2012,0.16
12/1/2012,0.16
1/1/2013,0.16
2/1/2013,0.14
3/1/2013,0.15
4/1/2013,0.14
5/1/2013,0.15
6/1/2013,0.11
7/1/2013,0.09
8/1/2013,0.09
