Date,Price
1950-02,34.73
1950-03,34.73
1950-04,34.73
1950-05,34.73
1950-06,34.73
1950-07,34.73
1950-08,34.73
1950-09,34.73
1950-10,34.73
1950-11,34.73
1950-12,34.73
1951-01,34.72
1951-02,34.72
1951-03,34.73
1951-04,34.73
1951-05,34.73
1951-06,34.73
1951-07,34.73
1951-08,34.72
1951-09,34.71
1951-10,34.71
1951-11,34.71
1951-12,34.73
1952-01,34.66
1952-02,34.49
1952-03,34.49
1952-04,34.68
1952-05,34.82
1952-06,34.73
1952-07,34.53
1952-08,34.57
1952-09,34.58
1952-10,34.51
1952-11,34.63
1952-12,34.72
1953-01,34.79
1953-02,34.88
1953-03,34.95
1953-04,34.92
1953-05,34.93
1953-06,34.9
1953-07,34.89
1953-08,34.91
1953-09,34.91
1953-10,34.76
1953-11,34.79
1953-12,34.86
1954-01,34.85
1954-02,34.86
1954-03,34.88
1954-04,34.92
1954-05,35.04
1954-06,35.08
1954-07,35.07
1954-08,35.08
1954-09,35.05
1954-10,35.08
1954-11,35.08
1954-12,35.06
1955-01,35.04
1955-02,35.04
1955-03,35.05
1955-04,35.06
1955-05,35.05
1955-06,35.05
1955-07,35.04
1955-08,35.05
1955-09,35.03
1955-10,34.98
1955-11,34.98
1955-12,34.98
1956-01,34.97
1956-02,34.99
1956-03,34.99
1956-04,34.99
1956-05,34.98
1956-06,34.99
1956-07,34.98
1956-08,35
1956-09,35.02
1956-10,35.01
1956-11,35.02
1956-12,34.98
1957-01,34.9
1957-02,34.88
1957-03,34.89
1957-04,34.91
1957-05,34.92
1957-06,34.93
1957-07,34.99
1957-08,34.99
1957-09,34.97
1957-10,34.96
1957-11,34.97
1957-12,34.97
1958-01,34.99
1958-02,35.01
1958-03,35.08
1958-04,35.09
1958-05,35.1
1958-06,35.11
1958-07,35.1
1958-08,35.11
1958-09,35.1
1958-10,35.1
1958-11,35.11
1958-12,35.1
1959-01,35.09
1959-02,35.07
1959-03,35.06
1959-04,35.06
1959-05,35.08
1959-06,35.12
1959-07,35.12
1959-08,35.13
1959-09,35.12
1959-10,35.13
1959-11,35.1
1959-12,35.06
1960-01,35.05
1960-02,35.09
1960-03,35.09
1960-04,35.09
1960-05,35.11
1960-06,35.1
1960-07,35.09
1960-08,35.1
1960-09,35.13
1960-10,35.22
1960-11,35.78
1960-12,35.82
1961-01,35.54
1961-02,35.56
1961-03,35.17
1961-04,35.08
1961-05,35.08
1961-06,35.06
1961-07,35.07
1961-08,35.11
1961-09,35.16
1961-10,35.19
1961-11,35.19
1961-12,35.19
1962-01,35.15
1962-02,35.16
1962-03,35.13
1962-04,35.09
1962-05,35.08
1962-06,35.08
1962-07,35.1
1962-08,35.12
1962-09,35.12
1962-10,35.13
1962-11,35.14
1962-12,35.09
1963-01,35.08
1963-02,35.06
1963-03,35.08
1963-04,35.1
1963-05,35.1
1963-06,35.08
1963-07,35.08
1963-08,35.09
1963-09,35.1
1963-10,35.08
1963-11,35.08
1963-12,35.08
1964-01,35.08
1964-02,35.08
1964-03,35.08
1964-04,35.08
1964-05,35.08
1964-06,35.08
1964-07,35.08
1964-08,35.08
1964-09,35.08
1964-10,35.09
1964-11,35.11
1964-12,35.1
1965-01,35.12
1965-02,35.13
1965-03,35.14
1965-04,35.16
1965-05,35.14
1965-06,35.1
1965-07,35.1
1965-08,35.12
1965-09,35.15
1965-10,35.14
1965-11,35.11
1965-12,35.11
1966-01,35.13
1966-02,35.15
1966-03,35.17
1966-04,35.15
1966-05,35.13
1966-06,35.12
1966-07,35.15
1966-08,35.18
1966-09,35.18
1966-10,35.19
1966-11,35.16
1966-12,35.16
1967-01,35.18
1967-02,35.18
1967-03,35.17
1967-04,35.16
1967-05,35.17
1967-06,35.18
1967-07,35.19
1967-08,35.19
1967-09,35.19
1967-10,35.19
1967-11,35.19
1967-12,35.2
1968-01,35.19
1968-02,35.18
1968-03,35.2
1968-04,35.2
1968-05,37.878
1968-06,40.691
1968-07,41.111
1968-08,39.53
1968-09,39.17
1968-10,40.203
1968-11,39.21
1968-12,39.795
1969-01,41.113
1969-02,42.291
1969-03,42.616
1969-04,43.171
1969-05,43.295
1969-06,43.461
1969-07,41.442
1969-08,41.755
1969-09,41.128
1969-10,40.865
1969-11,40.476
1969-12,37.452
1970-01,35.189
1970-02,34.946
1970-03,34.994
1970-04,35.089
1970-05,35.623
1970-06,35.958
1970-07,35.437
1970-08,35.329
1970-09,35.377
1970-10,36.196
1970-11,37.553
1970-12,37.455
1971-01,37.434
1971-02,37.868
1971-03,38.716
1971-04,38.873
1971-05,39.001
1971-06,40.493
1971-07,40.105
1971-08,40.929
1971-09,42.722
1971-10,41.976
1971-11,42.473
1971-12,42.842
1972-01,43.455
1972-02,45.64
1972-03,48.237
1972-04,48.288
1972-05,49.026
1972-06,54.5
1972-07,62.17
1972-08,65.558
1972-09,66.917
1972-10,65.589
1972-11,64.824
1972-12,62.726
1973-01,63.779
1973-02,65.127
1973-03,73.971
1973-04,84.105
1973-05,90.441
1973-06,101.623
1973-07,119.8
1973-08,120.364
1973-09,106.225
1973-10,103.034
1973-11,99.923
1973-12,94.645
1974-01,106.236
1974-02,129.027
1974-03,150
1974-04,168.298
1974-05,172.243
1974-06,163.568
1974-07,154.013
1974-08,142.283
1974-09,154.362
1974-10,151.66
1974-11,158.533
1974-12,181.483
1975-01,183.683
1975-02,176.864
1975-03,179.553
1975-04,178.203
1975-05,170.066
1975-06,167.293
1975-07,164.25
1975-08,164.867
1975-09,163.168
1975-10,144.311
1975-11,142.691
1975-12,142.565
1976-01,139.279
1976-02,131.695
1976-03,130.94
1976-04,132.676
1976-05,127.91
1976-06,126.913
1976-07,125.684
1976-08,117.866
1976-09,110.055
1976-10,114.098
1976-11,116.095
1976-12,130.341
1977-01,133.674
1977-02,132.306
1977-03,136.163
1977-04,148.339
1977-05,149.184
1977-06,146.536
1977-07,140.828
1977-08,143.383
1977-09,145.009
1977-10,149.334
1977-11,158.848
1977-12,162.132
1978-01,160.48
1978-02,173.207
1978-03,178.36
1978-04,183.771
1978-05,175.323
1978-06,176.19
1978-07,183.761
1978-08,188.569
1978-09,206.455
1978-10,212.212
1978-11,227.432
1978-12,207.082
1979-01,207.895
1979-02,226.986
1979-03,245.59
1979-04,242.348
1979-05,239.174
1979-06,257.738
1979-07,279.36
1979-08,295.009
1979-09,300.793
1979-10,354.498
1979-11,390.959
1979-12,391.518
1980-01,463.666
1980-02,674.58
1980-03,665.893
1980-04,554.276
1980-05,516.71
1980-06,514.268
