Frequency,CN:China,DE:Germany,FR:France,GB:United Kingdom,HK:Hong Kong SAR,JP:Japan,NZ:New Zealand,SG:Singapore,XM:Euro area,XW:World
1/3/1949,,,,,,,,,,
1/4/1949,,,,,,,,,,
1/5/1949,,,,,,,,,,
1/6/1949,,,,,,,,,,
1/7/1949,,,,,,,,,,
1/8/1949,,,,,,,,,,
1/9/1949,,,,,,,,,,
1/10/1949,,,,,,,,,,
1/11/1949,,,,,,,,,,
1/12/1949,,,,,,,,,,
1/13/1949,,,,,,,,,,
1/14/1949,,,,,,,,,,
1/15/1949,,,,,,,,,,
1/16/1949,,,,,,,,,,
1/17/1949,,,,,,,,,,
1/18/1949,,,,,,,,,,
1/19/1949,,,,,,,,,,
1/20/1949,,,,,,,,,,
1/21/1949,,,,,,,,,,
1/22/1949,,,,,,,,,,
1/23/1949,,,,,,,,,,
1/24/1949,,,,,,,,,,
1/25/1949,,,,,,,,,,
1/26/1949,,,,,,,,,,
1/27/1949,,,,,,,,,,
1/28/1949,,,,,,,,,,
1/29/1949,,,,,,,,,,
1/30/1949,,,,,,,,,,
1/31/1949,,,,,,,,,,
2/1/1949,,,,,,,,,,
2/2/1949,,,,,,,,,,
2/3/1949,,,,,,,,,,
2/4/1949,,,,,,,,,,
2/5/1949,,,,,,,,,,
2/6/1949,,,,,,,,,,
2/7/1949,,,,,,,,,,
2/8/1949,,,,,,,,,,
2/9/1949,,,,,,,,,,
2/10/1949,,,,,,,,,,
2/11/1949,,,,,,,,,,
2/12/1949,,,,,,,,,,
2/13/1949,,,,,,,,,,
2/14/1949,,,,,,,,,,
2/15/1949,,,,,,,,,,
2/16/1949,,,,,,,,,,
2/17/1949,,,,,,,,,,
2/18/1949,,,,,,,,,,
2/19/1949,,,,,,,,,,
2/20/1949,,,,,,,,,,
2/21/1949,,,,,,,,,,
2/22/1949,,,,,,,,,,
2/23/1949,,,,,,,,,,
2/24/1949,,,,,,,,,,
2/25/1949,,,,,,,,,,
2/26/1949,,,,,,,,,,
2/27/1949,,,,,,,,,,
2/28/1949,,,,,,,,,,
3/1/1949,,,,,,,,,,
3/2/1949,,,,,,,,,,
3/3/1949,,,,,,,,,,
3/4/1949,,,,,,,,,,
3/5/1949,,,,,,,,,,
3/6/1949,,,,,,,,,,
3/7/1949,,,,,,,,,,
3/8/1949,,,,,,,,,,
3/9/1949,,,,,,,,,,
3/10/1949,,,,,,,,,,
3/11/1949,,,,,,,,,,
3/12/1949,,,,,,,,,,
3/13/1949,,,,,,,,,,
3/14/1949,,,,,,,,,,
3/15/1949,,,,,,,,,,
3/16/1949,,,,,,,,,,
3/17/1949,,,,,,,,,,
3/18/1949,,,,,,,,,,
3/19/1949,,,,,,,,,,
3/20/1949,,,,,,,,,,
3/21/1949,,,,,,,,,,
3/22/1949,,,,,,,,,,
3/23/1949,,,,,,,,,,
3/24/1949,,,,,,,,,,
3/25/1949,,,,,,,,,,
3/26/1949,,,,,,,,,,
3/27/1949,,,,,,,,,,
3/28/1949,,,,,,,,,,
3/29/1949,,,,,,,,,,
3/30/1949,,,,,,,,,,
3/31/1949,,,,,,,,,,
4/1/1949,,,,,,,,,,
4/2/1949,,,,,,,,,,
4/3/1949,,,,,,,,,,
4/4/1949,,,,,,,,,,
4/5/1949,,,,,,,,,,
4/6/1949,,,,,,,,,,
4/7/1949,,,,,,,,,,
4/8/1949,,,,,,,,,,
4/9/1949,,,,,,,,,,
4/10/1949,,,,,,,,,,
4/11/1949,,,,,,,,,,
4/12/1949,,,,,,,,,,
4/13/1949,,,,,,,,,,
4/14/1949,,,,,,,,,,
4/15/1949,,,,,,,,,,
4/16/1949,,,,,,,,,,
4/17/1949,,,,,,,,,,
4/18/1949,,,,,,,,,,
4/19/1949,,,,,,,,,,
4/20/1949,,,,,,,,,,
4/21/1949,,,,,,,,,,
4/22/1949,,,,,,,,,,
4/23/1949,,,,,,,,,,
4/24/1949,,,,,,,,,,
4/25/1949,,,,,,,,,,
4/26/1949,,,,,,,,,,
4/27/1949,,,,,,,,,,
4/28/1949,,,,,,,,,,
4/29/1949,,,,,,,,,,
4/30/1949,,,,,,,,,,
5/1/1949,,,,,,,,,,
5/2/1949,,,,,,,,,,
5/3/1949,,,,,,,,,,
5/4/1949,,,,,,,,,,
5/5/1949,,,,,,,,,,
5/6/1949,,,,,,,,,,
5/7/1949,,,,,,,,,,
5/8/1949,,,,,,,,,,
5/9/1949,,,,,,,,,,
5/10/1949,,,,,,,,,,
5/11/1949,,,,,,,,,,
5/12/1949,,,,,,,,,,
5/13/1949,,,,,,,,,,
5/14/1949,,,,,,,,,,
5/15/1949,,,,,,,,,,
5/16/1949,,,,,,,,,,
5/17/1949,,,,,,,,,,
5/18/1949,,,,,,,,,,
5/19/1949,,,,,,,,,,
5/20/1949,,,,,,,,,,
5/21/1949,,,,,,,,,,
5/22/1949,,,,,,,,,,
5/23/1949,,,,,,,,,,
5/24/1949,,,,,,,,,,
5/25/1949,,,,,,,,,,
5/26/1949,,,,,,,,,,
5/27/1949,,,,,,,,,,
5/28/1949,,,,,,,,,,
5/29/1949,,,,,,,,,,
5/30/1949,,,,,,,,,,
5/31/1949,,,,,,,,,,
6/1/1949,,,,,,,,,,
6/2/1949,,,,,,,,,,
6/3/1949,,,,,,,,,,
6/4/1949,,,,,,,,,,
6/5/1949,,,,,,,,,,
6/6/1949,,,,,,,,,,
6/7/1949,,,,,,,,,,
6/8/1949,,,,,,,,,,
6/9/1949,,,,,,,,,,
6/10/1949,,,,,,,,,,
6/11/1949,,,,,,,,,,
6/12/1949,,,,,,,,,,
6/13/1949,,,,,,,,,,
6/14/1949,,,,,,,,,,
6/15/1949,,,,,,,,,,
6/16/1949,,,,,,,,,,
6/17/1949,,,,,,,,,,
6/18/1949,,,,,,,,,,
6/19/1949,,,,,,,,,,
6/20/1949,,,,,,,,,,
6/21/1949,,,,,,,,,,
6/22/1949,,,,,,,,,,
6/23/1949,,,,,,,,,,
6/24/1949,,,,,,,,,,
6/25/1949,,,,,,,,,,
6/26/1949,,,,,,,,,,
6/27/1949,,,,,,,,,,
6/28/1949,,,,,,,,,,
6/29/1949,,,,,,,,,,
6/30/1949,,,,,,,,,,
7/1/1949,,,,,,,,,,
7/2/1949,,,,,,,,,,
7/3/1949,,,,,,,,,,
7/4/1949,,,,,,,,,,
7/5/1949,,,,,,,,,,
7/6/1949,,,,,,,,,,
7/7/1949,,,,,,,,,,
7/8/1949,,,,,,,,,,
7/9/1949,,,,,,,,,,
7/10/1949,,,,,,,,,,
7/11/1949,,,,,,,,,,
7/12/1949,,,,,,,,,,
7/13/1949,,,,,,,,,,
7/14/1949,,,,,,,,,,
7/15/1949,,,,,,,,,,
7/16/1949,,,,,,,,,,
7/17/1949,,,,,,,,,,
7/18/1949,,,,,,,,,,
7/19/1949,,,,,,,,,,
7/20/1949,,,,,,,,,,
7/21/1949,,,,,,,,,,
7/22/1949,,,,,,,,,,
7/23/1949,,,,,,,,,,
7/24/1949,,,,,,,,,,
7/25/1949,,,,,,,,,,
7/26/1949,,,,,,,,,,
7/27/1949,,,,,,,,,,
7/28/1949,,,,,,,,,,
7/29/1949,,,,,,,,,,
7/30/1949,,,,,,,,,,
7/31/1949,,,,,,,,,,
8/1/1949,,,,,,,,,,
8/2/1949,,,,,,,,,,
8/3/1949,,,,,,,,,,
8/4/1949,,,,,,,,,,
8/5/1949,,,,,,,,,,
8/6/1949,,,,,,,,,,
8/7/1949,,,,,,,,,,
8/8/1949,,,,,,,,,,
8/9/1949,,,,,,,,,,
8/10/1949,,,,,,,,,,
8/11/1949,,,,,,,,,,
8/12/1949,,,,,,,,,,
8/13/1949,,,,,,,,,,
8/14/1949,,,,,,,,,,
8/15/1949,,,,,,,,,,
8/16/1949,,,,,,,,,,
8/17/1949,,,,,,,,,,
8/18/1949,,,,,,,,,,
8/19/1949,,,,,,,,,,
8/20/1949,,,,,,,,,,
8/21/1949,,,,,,,,,,
8/22/1949,,,,,,,,,,
8/23/1949,,,,,,,,,,
8/24/1949,,,,,,,,,,
8/25/1949,,,,,,,,,,
8/26/1949,,,,,,,,,,
8/27/1949,,,,,,,,,,
8/28/1949,,,,,,,,,,
8/29/1949,,,,,,,,,,
8/30/1949,,,,,,,,,,
8/31/1949,,,,,,,,,,
9/1/1949,,,,,,,,,,
9/2/1949,,,,,,,,,,
9/3/1949,,,,,,,,,,
9/4/1949,,,,,,,,,,
9/5/1949,,,,,,,,,,
9/6/1949,,,,,,,,,,
9/7/1949,,,,,,,,,,
9/8/1949,,,,,,,,,,
9/9/1949,,,,,,,,,,
9/10/1949,,,,,,,,,,
9/11/1949,,,,,,,,,,
9/12/1949,,,,,,,,,,
9/13/1949,,,,,,,,,,
9/14/1949,,,,,,,,,,
9/15/1949,,,,,,,,,,
9/16/1949,,,,,,,,,,
9/17/1949,,,,,,,,,,
9/18/1949,,,,,,,,,,
9/19/1949,,,,,,,,,,
9/20/1949,,,,,,,,,,
9/21/1949,,,,,,,,,,
9/22/1949,,,,,,,,,,
9/23/1949,,,,,,,,,,
9/24/1949,,,,,,,,,,
9/25/1949,,,,,,,,,,
9/26/1949,,,,,,,,,,
9/27/1949,,,,,,,,,,
9/28/1949,,,,,,,,,,
9/29/1949,,,,,,,,,,
9/30/1949,,,,,,,,,,
10/1/1949,,,,,,,,,,
10/2/1949,,,,,,,,,,
10/3/1949,,,,,,,,,,
10/4/1949,,,,,,,,,,
10/5/1949,,,,,,,,,,
10/6/1949,,,,,,,,,,
10/7/1949,,,,,,,,,,
10/8/1949,,,,,,,,,,
10/9/1949,,,,,,,,,,
10/10/1949,,,,,,,,,,
10/11/1949,,,,,,,,,,
10/12/1949,,,,,,,,,,
10/13/1949,,,,,,,,,,
10/14/1949,,,,,,,,,,
10/15/1949,,,,,,,,,,
10/16/1949,,,,,,,,,,
10/17/1949,,,,,,,,,,
10/18/1949,,,,,,,,,,
10/19/1949,,,,,,,,,,
10/20/1949,,,,,,,,,,
10/21/1949,,,,,,,,,,
10/22/1949,,,,,,,,,,
10/23/1949,,,,,,,,,,
10/24/1949,,,,,,,,,,
10/25/1949,,,,,,,,,,
10/26/1949,,,,,,,,,,
10/27/1949,,,,,,,,,,
10/28/1949,,,,,,,,,,
10/29/1949,,,,,,,,,,
10/30/1949,,,,,,,,,,
10/31/1949,,,,,,,,,,
11/1/1949,,,,,,,,,,
11/2/1949,,,,,,,,,,
11/3/1949,,,,,,,,,,
11/4/1949,,,,,,,,,,
11/5/1949,,,,,,,,,,
11/6/1949,,,,,,,,,,
11/7/1949,,,,,,,,,,
11/8/1949,,,,,,,,,,
11/9/1949,,,,,,,,,,
11/10/1949,,,,,,,,,,
11/11/1949,,,,,,,,,,
11/12/1949,,,,,,,,,,
11/13/1949,,,,,,,,,,
11/14/1949,,,,,,,,,,
11/15/1949,,,,,,,,,,
11/16/1949,,,,,,,,,,
11/17/1949,,,,,,,,,,
11/18/1949,,,,,,,,,,
11/19/1949,,,,,,,,,,
11/20/1949,,,,,,,,,,
11/21/1949,,,,,,,,,,
11/22/1949,,,,,,,,,,
11/23/1949,,,,,,,,,,
11/24/1949,,,,,,,,,,
11/25/1949,,,,,,,,,,
11/26/1949,,,,,,,,,,
11/27/1949,,,,,,,,,,
11/28/1949,,,,,,,,,,
11/29/1949,,,,,,,,,,
11/30/1949,,,,,,,,,,
12/1/1949,,,,,,,,,,
12/2/1949,,,,,,,,,,
12/3/1949,,,,,,,,,,
12/4/1949,,,,,,,,,,
12/5/1949,,,,,,,,,,
12/6/1949,,,,,,,,,,
12/7/1949,,,,,,,,,,
12/8/1949,,,,,,,,,,
12/9/1949,,,,,,,,,,
12/10/1949,,,,,,,,,,
12/11/1949,,,,,,,,,,
12/12/1949,,,,,,,,,,
12/13/1949,,,,,,,,,,
12/14/1949,,,,,,,,,,
12/15/1949,,,,,,,,,,
12/16/1949,,,,,,,,,,
12/17/1949,,,,,,,,,,
12/18/1949,,,,,,,,,,
12/19/1949,,,,,,,,,,
12/20/1949,,,,,,,,,,
12/21/1949,,,,,,,,,,
12/22/1949,,,,,,,,,,
12/23/1949,,,,,,,,,,
12/24/1949,,,,,,,,,,
12/25/1949,,,,,,,,,,
12/26/1949,,,,,,,,,,
12/27/1949,,,,,,,,,,
12/28/1949,,,,,,,,,,
12/29/1949,,,,,,,,,,
12/30/1949,,,,,,,,,,
12/31/1949,,,,,,,,,,
1/1/1950,,,,,,,,,,
1/2/1950,,,,,,,,,,
1/3/1950,,,,,,,,,,
1/4/1950,,,,,,,,,,
1/5/1950,,,,,,,,,,
1/6/1950,,,,,,,,,,
1/7/1950,,,,,,,,,,
1/8/1950,,,,,,,,,,
1/9/1950,,,,,,,,,,
1/10/1950,,,,,,,,,,
1/11/1950,,,,,,,,,,
